Month,Year,Type,Country,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species
Jun,2018,,USA,"Oceanside, San Diego County",Paddling,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,18h00,White shark
Jun,2018,Unprovoked,USA,"St. Simon Island, Glynn County",Standing,F,11,Minor injury to left thigh,N,14h00  -15h00,
Jun,2018,,USA,"Habush, Oahu",Surfing,M,48,Injury to left lower leg from surfboard skeg,N,07h45,
Jun,2018,Unprovoked,Brazil,"Piedade Beach, Recife",Swimming,M,18,FATAL,Y,Late afternoon,Tiger shark
May,2018,Unprovoked,USA,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,,Lemon shark
May,2018,Unprovoked,USA,"Cocoa Beach, Brevard  County",Walking,M,15,Lower left leg bitten,N,17h00,Bull shark
May,2018,Unprovoked,USA,"Daytona Beach, Volusia County",Standing,M,12,Minor injury to foot,N,14h00,
May,2018,Provoked,Australia,Cairns Aquarium,Feeding sharks,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Morning,Reef shark
May,2018,Unprovoked,USA,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,15h00,
May,2018,,England,Off Land's End,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08h15,
May,2018,,Australia,"Sharpes Beach, Ballina",Surfing,M,,"No injury, surfboard damaged",N,10h30,
Apr,2018,Unprovoked,Costa Rica,Manuelita,Scuba diving,M,30,"No injury, shark bit scuba gear",N,10h40,Tiger shark
Apr,2018,,Australia,Lennox Head,Surfing,M,,No injury,N,07h00,
Apr,2018,Unprovoked,Australia,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",N,09h30,
Apr,2018,Unprovoked,Australia,"South Point, Gracetown",Surfing,M,,"No injury, shark struck his leg",N,Afternoon,White shark
Apr,2018,Unprovoked,Maldives,Madoogali,Fishing,M,32,5-inch cut to hand,N,21h50,Tiger shark
Apr,2018,Unprovoked,South Africa,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,09h40,White shark
Apr,2018,Unprovoked,USA,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body boarding,M,29,Lacerations to right lower leg,N,,
Apr,2018,Unprovoked,Thailand,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,,Bull shark
Apr,2018,Unprovoked,Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,08h00,
Apr,2018,Unprovoked,Bahamas,Nirvana Beach,Surfing,M,,No Injury. Shark swam away with the surf board,N,09h30,Tiger shark
Apr,2018,,Brazil,"Praia de Sauaçuhy, Maceió",Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,,
Apr,2018,Unprovoked,Bahamas,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,18h00,Bull shark
Apr,2018,Unprovoked,South Africa,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,N,15h00,White shark
Mar,2018,Unprovoked,USA,Kukio Beach,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,09h30,Tiger shark
Mar,2018,Unprovoked,Australia,Waterman's Bay,Wading,M,10,Minor injuries to legs,N,17h35,Wobbegong shark
Mar,2018,Unprovoked,Australia,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,15h30,
Mar,2018,Unprovoked,Australia,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",N,07h30,
Feb,2018,Unprovoked,South Africa,Durban,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,,Blacktip shark
Feb,2018,Unprovoked,Australia,"Little Congwong Beach, La Perouse ",Swimming,F,55,Laceratons to right leg & foot,N,"19h00, Dusk",White shark
Feb,2018,Provoked,Australia,Westernport Bay,Kayak fishing for sharks,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Night,
Feb,2018,Unprovoked,Australia,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,N,16h00,Bull shark
Feb,2018,,Australia,Mooloolaba Beach,Swimming,F,,"Collision / No injury, no attack",N,18h00,
Feb,2018,,Brazil,Espirito Santo,Cleaning fish,F,46,Lacerations to 4 toes of right foot,N,,
Feb,2018,Unprovoked,Ecuador,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,N,,Galapagos shark
Feb,2018,,Australia,"Avalon Point, Manurah",Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,,
